,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Borderline Intellectual Functioning
1,"[0.773542926942764, 0.8214, 0.6417]","[0.6687185557857356, 0.688, 0.5452]","[0.7710971991025548, 0.6707, 0.7389]"
2,"[0.7722487203350394, 0.8214, 0.6449]","[0.6669872743415212, 0.688, 0.5452]","[0.7710971991025548, 0.6707, 0.7389]"
3,"[0.7763494648673802, 0.8303, 0.6449]","[0.7091003255401007, 0.7156, 0.6419]","[0.8100166461605268, 0.6463, 0.7685]"
4,"[0.7818171242438344, 0.7589, 0.6515]","[0.7104172832198876, 0.7156, 0.6452]","[0.8363971918650936, 0.817, 0.6884]"
5,"[0.8098679618427176, 0.7767, 0.7296]","[0.7104172832198876, 0.7156, 0.6452]","[0.8478504740537021, 0.8292, 0.7003]"
6,"[0.8098679618427176, 0.7767, 0.7296]","[0.7324504291210416, 0.7706, 0.5323]","[0.8445212419483245, 0.817, 0.7329]"
7,"[0.8098679618427176, 0.7767, 0.7296]","[0.7456052086416101, 0.7614, 0.5839]","[0.844593616559311, 0.817, 0.7329]"
8,"[0.810871335504886, 0.8035, 0.6873]","[0.7415211601065406, 0.7706, 0.5581]","[0.8413910400231599, 0.8048, 0.7359]"
9,"[0.810871335504886, 0.8035, 0.6873]","[0.751879254217224, 0.7339, 0.6419]","[0.8378808713903163, 0.7682, 0.7478]"
10,"[0.8348795951605397, 0.7589, 0.7687]","[0.7518496596626222, 0.7339, 0.6419]","[0.8380799015705291, 0.7682, 0.7478]"
11,"[0.8358684271754304, 0.8124, 0.7492]","[0.7526783071914769, 0.7889, 0.5581]","[0.8425309401461968, 0.8048, 0.7092]"
12,"[0.8375697999069335, 0.7767, 0.7817]","[0.768970109499852, 0.7522, 0.5645]","[0.8515777665195049, 0.7804, 0.7626]"
13,"[0.8368718008375989, 0.8392, 0.7003]","[0.774607872151524, 0.7614, 0.5839]","[0.8549974668886154, 0.8048, 0.7507]"
14,"[0.8386749651000465, 0.7321, 0.8143]","[0.7758804379994082, 0.7522, 0.5839]","[0.8549612795831222, 0.8048, 0.7507]"
15,"[0.8405653792461611, 0.7589, 0.8013]","[0.7808819177271382, 0.7339, 0.6419]","[0.8590504451038575, 0.7195, 0.8101]"
16,"[0.8448406235458353, 0.7589, 0.8111]","[0.7905593370819768, 0.7798, 0.6419]","[0.8605341246290801, 0.7804, 0.7834]"
17,"[0.8445497906002791, 0.8482, 0.7166]","[0.7897602841077243, 0.7889, 0.6161]","[0.8618006803213433, 0.817, 0.7685]"
18,"[0.8445497906002791, 0.8482, 0.7166]","[0.7877774489493934, 0.7889, 0.6129]","[0.8624158645147282, 0.8048, 0.7893]"
19,"[0.844637040483946, 0.8124, 0.7655]","[0.7878070435039953, 0.7889, 0.6129]","[0.8629224867916335, 0.7926, 0.7982]"
20,"[0.8453350395532807, 0.7767, 0.8078]","[0.7878070435039953, 0.7889, 0.6129]","[0.8624882391257147, 0.8048, 0.7745]"
21,"[0.8480397859469521, 0.7767, 0.8208]","[0.789197987570287, 0.7981, 0.6419]","[0.8593399435478034, 0.7926, 0.7567]"
22,"[0.8487377850162866, 0.7678, 0.8241]","[0.7888428529150636, 0.7981, 0.6452]","[0.8591951943258305, 0.7926, 0.7567]"
23,"[0.8494357840856213, 0.741, 0.8176]","[0.7883693400414323, 0.6697, 0.7774]","[0.8595570673807629, 0.7926, 0.7626]"
24,"[0.8498138669148441, 0.741, 0.8208]","[0.7885765019236461, 0.6697, 0.7742]","[0.8597018166027358, 0.7926, 0.7626]"
25,"[0.8514425314099582, 0.7589, 0.8241]","[0.789819473216928, 0.6697, 0.7677]","[0.8609321849895056, 0.7926, 0.7774]"
26,"[0.8487377850162867, 0.8124, 0.7655]","[0.78227286179343, 0.7706, 0.6355]","[0.8615473691828905, 0.7926, 0.7685]"
27,"[0.8487377850162867, 0.8124, 0.7655]","[0.7828647528854691, 0.7614, 0.6581]","[0.8609683722949988, 0.7926, 0.7685]"
28,"[0.8487668683108422, 0.8124, 0.7655]","[0.7855578573542468, 0.7522, 0.6516]","[0.8557574003039734, 0.8048, 0.7507]"
29,"[0.8512098650535131, 0.7857, 0.8143]","[0.7857650192364606, 0.7522, 0.6516]","[0.8580010132445538, 0.8048, 0.7389]"
30,"[0.8512098650535131, 0.7857, 0.8143]","[0.7863569103284995, 0.6147, 0.7935]","[0.8580010132445538, 0.8292, 0.727]"
31,"[0.8537401116798511, 0.7678, 0.8013]","[0.7876294761763835, 0.8715, 0.5]","[0.8585438228269523, 0.8048, 0.7478]"
32,"[0.8539146114471848, 0.7857, 0.8013]","[0.7851731281444215, 0.8531, 0.4871]","[0.8581457624665267, 0.8048, 0.7389]"
33,"[0.852198697068404, 0.7946, 0.8045]","[0.7801716484166914, 0.8531, 0.5129]","[0.8586885720489252, 0.8048, 0.7478]"
34,"[0.8519369474174036, 0.741, 0.8501]","[0.7796981355430601, 0.8073, 0.5742]","[0.853984222334805, 0.8048, 0.73]"
35,"[0.8519369474174036, 0.741, 0.8501]","[0.779135839005623, 0.7889, 0.6]","[0.8535499746688862, 0.7682, 0.7685]"
36,"[0.8493485342019543, 0.7767, 0.8176]","[0.7789286771234094, 0.7431, 0.6322]","[0.8540565969457915, 0.7682, 0.7745]"
37,"[0.8493485342019543, 0.7767, 0.8176]","[0.7821544835750223, 0.7339, 0.6548]","[0.854454657306217, 0.7804, 0.7715]"
38,"[0.8493485342019543, 0.7767, 0.8176]","[0.7829535365492748, 0.7889, 0.6064]","[0.8536585365853658, 0.7926, 0.7478]"
39,"[0.8494648673801768, 0.7767, 0.8208]","[0.7864752885469074, 0.7339, 0.671]","[0.8531881016139539, 0.7682, 0.7715]"
40,"[0.8494648673801768, 0.7767, 0.8208]","[0.7864456939923055, 0.7431, 0.6645]","[0.8537670985018455, 0.7682, 0.7745]"
41,"[0.8494648673801768, 0.7767, 0.8208]","[0.7859129920094703, 0.7431, 0.6581]","[0.8534414127524065, 0.7682, 0.7715]"
42,"[0.8505118659841787, 0.7946, 0.8176]","[0.7834270494229063, 0.8073, 0.5548]","[0.8488456249547659, 0.7804, 0.7478]"
43,"[0.8505118659841787, 0.7946, 0.8176]","[0.7836638058597218, 0.8531, 0.5387]","[0.8483390026778607, 0.7682, 0.7952]"
44,"[0.8505118659841787, 0.7946, 0.8176]","[0.7825096182302457, 0.8256, 0.5516]","[0.8482666280668741, 0.7804, 0.7478]"
45,"[0.8505118659841787, 0.7946, 0.8176]","[0.7929860905593371, 0.8348, 0.5613]","[0.8482666280668741, 0.7682, 0.7952]"
46,"[0.8503955328059563, 0.75, 0.8306]","[0.7862977212192956, 0.7981, 0.6193]","[0.8458782659043207, 0.7926, 0.7003]"
47,"[0.8503955328059563, 0.75, 0.8306]","[0.7833678603137023, 0.7889, 0.6193]","[0.8483751899833538, 0.7317, 0.7893]"
