,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Borderline Intellectual Functioning,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Intellectual Disability-Mild
50,"0.7857,0.7883","0.8048,0.6944","0.7247,0.6839","0.5333,0.7228"
49,"0.7857,0.7883","0.8048,0.6973","0.7247,0.671","0.4667,0.7822"
48,"0.7857,0.7883","0.7926,0.7122","0.7522,0.6613","0.4667,0.7896"
47,"0.7857,0.7883","0.8048,0.7092","0.7339,0.6839","0.5999,0.6485"
46,"0.8392,0.7068","0.8048,0.7122","0.7339,0.6871","0.4667,0.7921"
45,"0.8303,0.6971","0.7317,0.7863","0.7064,0.7193","0.6664,0.6559"
44,"0.8303,0.6612","0.8048,0.6973","0.7064,0.7193","0.5999,0.6312"
43,"0.7678,0.8273","0.7926,0.7151","0.7981,0.5871","0.4667,0.7673"
42,"0.741,0.8241","0.8048,0.7092","0.7981,0.5839","0.5333,0.7648"
41,"0.741,0.8241","0.7926,0.7003","0.7981,0.6161","0.4667,0.7525"
40,"0.75,0.8208","0.7804,0.7478","0.7981,0.6161","0.5333,0.7475"
39,"0.75,0.8208","0.7804,0.7478","0.7981,0.6161","0.5999,0.7005"
38,"0.75,0.8208","0.7682,0.7952","0.8348,0.5645","0.4667,0.8242"
37,"0.75,0.8208","0.7804,0.7537","0.8256,0.5581","0.4667,0.7599"
36,"0.7589,0.8143","0.7682,0.7715","0.7981,0.5677","0.4667,0.7896"
35,"0.7589,0.8143","0.7682,0.7715","0.8165,0.5516","0.4667,0.7574"
34,"0.7589,0.8143","0.7682,0.7715","0.8256,0.5419","0.4667,0.7574"
33,"0.7678,0.8143","0.7682,0.7745","0.7339,0.6774","0.4667,0.7599"
32,"0.7678,0.8143","0.7804,0.7715","0.7339,0.6774","0.4667,0.7525"
31,"0.7678,0.8143","0.7926,0.7478","0.7981,0.6032","0.4667,0.7772"
30,"0.7857,0.8045","0.8048,0.724","0.7431,0.6419","0.4667,0.7624"
29,"0.7857,0.8045","0.8048,0.7478","0.7614,0.6226","0.4667,0.7624"
28,"0.7767,0.8078","0.8292,0.7359","0.7889,0.6","0.4667,0.7871"
27,"0.7589,0.8013","0.8292,0.7418","0.8073,0.571","0.4667,0.75"
26,"0.7589,0.8013","0.8048,0.7418","0.8531,0.5129","0.4667,0.8193"
25,"0.7678,0.8045","0.8048,0.7478","0.8531,0.4903","0.4667,0.7549"
24,"0.7678,0.8045","0.8048,0.7448","0.8623,0.5","0.4667,0.7871"
23,"0.7053,0.8436","0.7926,0.7685","0.6147,0.8064","0.4667,0.7846"
22,"0.7053,0.8436","0.7926,0.7656","0.7798,0.6484","0.4667,0.7599"
21,"0.8303,0.7166","0.7804,0.7774","0.7614,0.6548","0.4667,0.8267"
20,"0.8035,0.7459","0.7926,0.7626","0.7431,0.6677","0.4667,0.7549"
19,"0.7946,0.7655","0.7926,0.7567","0.7706,0.6387","0.4667,0.7426"
18,"0.8124,0.7296","0.7926,0.7804","0.6697,0.7806","0.4667,0.7747"
17,"0.8303,0.7199","0.7926,0.7952","0.6605,0.7839","0.4667,0.7673"
16,"0.8303,0.7101","0.8048,0.7893","0.6605,0.7839","0.4667,0.7475"
15,"0.8571,0.7036","0.817,0.7685","0.7981,0.6419","0.4667,0.7426"
14,"0.8571,0.6971","0.7804,0.7834","0.7981,0.6419","0.4667,0.7797"
13,"0.8571,0.6971","0.7195,0.8101","0.7889,0.6161","0.4001,0.8292"
12,"0.8392,0.7133","0.8048,0.7507","0.7798,0.6419","0.3336,0.8465"
11,"0.7142,0.8111","0.8048,0.7507","0.7339,0.6387","0.4667,0.8242"
10,"0.7321,0.8111","0.7804,0.7626","0.7522,0.5871","0.4667,0.8242"
9,"0.8303,0.7296","0.8048,0.7092","0.7614,0.5871","0.4667,0.8218"
8,"0.7857,0.7817","0.7682,0.7478","0.7522,0.5645","0.4667,0.8218"
7,"0.7946,0.7622","0.7682,0.7478","0.7889,0.5581","0.4001,0.8589"
6,"0.75,0.7655","0.8048,0.7359","0.7614,0.629","0.4001,0.8416"
5,"0.7946,0.671","0.817,0.7329","0.7614,0.5613","0.4001,0.8515"
4,"0.7857,0.6873","0.8292,0.7003","0.7798,0.5452","0.6664,0.6782"
3,"0.75,0.6547","0.817,0.6884","0.7706,0.5323","0.4001,0.8935"
2,"0.8214,0.6449","0.6463,0.7685","0.7156,0.6419","0.4667,0.7822"
1,"0.8214,0.6417","0.6707,0.7389","0.688,0.5452","0.6664,0.6733"
